model_id,model_name,model_size,prefill_length,context_length,version,target,device_num,core_num,publish_time,model_md5sum,quant_model_md5sum,model_path,quant_model_path
744072-1756202134,qwen3,8b,256,2048,v0.3.0,xh2,1,2,20250826 17:26:56,5e1896e9db07b9e73b248cf03219de43,8d05c0f5b75dece8ca97206734ed86cc,http://10.10.1.53:8082/artifactory/AutoGeneratedModels/qwen3/20250826/hmm_xh2_qwen3_8b_256_2k_1chip_2cores_20250826.zip,http://10.10.1.53:8082/artifactory/AutoGeneratedModels/qwen3/20250826/hmquant_xh2_qwen3_8b_256_2k_20250826.zip
2307922-1756365823.946875,deepseek-r1-qwen3,8b,256,2048,v0.3.0,xh2,1,2,20250828 15:47:42,7dda4713846ee0d77b422f50df0143eb,b64f24e93161cd9743cca0b055fd2cdf,http://10.10.1.53:8082/artifactory/AutoGeneratedModels/deepseek-r1-qwen3/20250828/hmm_xh2_deepseek-r1-qwen3_8b_256_2k_b1_1chip_2cores_1756365823.946875.zip,http://10.10.1.53:8082/artifactory/AutoGeneratedModels/deepseek-r1-qwen3/20250828/hmquant_xh2_deepseek-r1-qwen3_8b_256_2k_1756365823.946875.zip
